date,categoryCode,score,scoreChangePre,scoreChange,dataType,isTrack,isPpp,blockDynamicIndexList
2024-10-15,000011.BKDL,72.89,-565.51,0.0,1,1,0,[]
2024-10-15,000033.BKDL,72.08,-589.49,1.29,1,0,0,[]
2024-10-15,000036.BKDL,71.31,-582.37,1.98,1,0,0,[]
2024-10-15,000001.BKDL,69.67,-559.81,0.0,1,1,0,[]
2024-10-15,000035.BKDL,68.25,-563.72,1.37,1,1,0,[]
2024-10-15,000023.BKDL,65.73,-529.19,1.26,1,0,0,[]
2024-10-15,000017.BKDL,65.67,-532.15,1.04,1,1,0,[]
2024-10-15,000009.BKDL,62.89,-500.3,1.41,1,1,0,[]
2024-10-15,000032.BKDL,62.43,-613.49,0.0,1,0,0,[]
2024-10-15,000019.BKDL,61.34,-525.74,0.0,1,0,0,[]
2024-10-15,000038.BKDL,54.59,-547.55,1.19,1,1,0,[]
2024-10-15,000037.BKDL,41.31,-508.27,0.44,1,1,0,[]
2024-10-15,000005.BKDL,35.47,-501.6,0.0,1,1,0,[]
2024-10-14,000016.BKDL,692.92,624.99,3.7,1,0,0,[]
2024-10-14,000034.BKDL,689.94,630.86,4.22,1,0,0,[]
2024-10-14,000025.BKDL,685.25,646.09,3.26,1,0,0,[]
2024-10-14,000013.BKDL,684.82,654.83,5.0,1,1,0,[]
2024-10-14,000031.BKDL,683.76,642.34,5.08,1,0,0,[]
2024-10-14,000014.BKDL,681.01,628.38,4.79,1,0,0,[]
2024-10-14,000032.BKDL,675.92,658.7,8.61,1,0,0,[]
2024-10-14,000006.BKDL,667.27,616.91,7.29,1,0,0,[]
2024-10-14,000003.BKDL,664.91,595.01,10.82,1,0,0,[]
2024-10-14,000033.BKDL,661.57,628.96,10.73,1,0,0,[]
2024-10-14,000029.BKDL,658.68,628.42,3.49,1,0,0,[]
2024-10-14,000008.BKDL,655.31,620.67,12.99,1,1,0,[]
2024-10-14,000036.BKDL,653.68,629.91,15.85,1,0,0,[]
2024-10-14,000027.BKDL,651.76,611.25,8.91,1,0,0,[]
2024-10-14,000007.BKDL,647.55,590.62,13.05,1,1,0,[]
2024-10-14,000011.BKDL,638.4,604.05,12.57,1,1,0,[]
2024-10-14,000035.BKDL,631.97,597.39,11.83,1,1,0,[]
2024-10-14,000018.BKDL,629.49,593.57,11.34,1,1,0,[]
2024-10-14,000001.BKDL,629.48,574.22,7.21,1,1,0,[]
2024-10-14,000012.BKDL,624.73,565.02,12.2,1,0,0,[]
2024-10-14,000026.BKDL,619.61,569.71,12.7,1,1,0,[]
2024-10-14,000004.BKDL,616.25,560.48,9.53,1,1,0,[]
2024-10-14,000024.BKDL,603.35,567.99,15.47,1,1,0,[]
2024-10-14,000022.BKDL,602.93,567.46,27.28,1,1,0,[]
2024-10-14,000038.BKDL,602.14,561.49,8.37,1,1,0,[]
2024-10-14,000017.BKDL,597.82,551.95,10.94,1,1,0,[]
2024-10-14,000023.BKDL,594.92,546.77,12.56,1,0,0,[]
2024-10-14,000019.BKDL,587.08,538.89,15.34,1,0,0,[]
2024-10-14,000010.BKDL,566.56,512.45,13.37,1,1,0,[]
2024-10-14,000015.BKDL,566.47,486.36,14.31,1,1,0,[]
2024-10-14,000009.BKDL,563.19,522.2,14.13,1,1,0,[]
2024-10-14,000037.BKDL,549.58,515.67,10.0,1,1,0,[]
2024-10-14,000005.BKDL,537.07,486.4,25.34,1,1,0,[]
2024-10-14,000021.BKDL,488.89,404.86,26.73,1,1,0,[]
2024-10-14,000028.BKDL,308.73,127.35,19.3,1,1,0,[]
2024-10-11,000028.BKDL,181.38,-50.16,3.86,1,1,0,[]
2024-10-11,000021.BKDL,84.03,-217.71,0.0,1,1,0,[]
2024-10-11,000015.BKDL,80.11,-176.42,3.82,1,1,0,[]
2024-10-11,000003.BKDL,69.9,-153.12,3.33,1,0,0,[]
2024-10-11,000016.BKDL,67.93,-143.28,4.94,1,0,0,[]
2024-10-11,000012.BKDL,59.71,-196.48,3.21,1,0,0,[]
2024-10-11,000034.BKDL,59.08,-127.65,2.11,1,0,0,[]
2024-10-11,000007.BKDL,56.93,-303.61,3.56,1,1,0,[]
2024-10-11,000004.BKDL,55.77,-265.28,2.72,1,1,0,[]
2024-10-11,000001.BKDL,55.26,-283.5,0.0,1,1,0,[]
2024-10-11,000010.BKDL,54.11,-311.29,1.27,1,1,0,[]
2024-10-11,000014.BKDL,52.63,-140.35,0.0,1,0,0,[]
2024-10-11,000005.BKDL,50.67,-430.66,0.0,1,1,0,[]
2024-10-11,000006.BKDL,50.36,-151.08,2.65,1,0,0,[]
2024-10-11,000026.BKDL,49.9,-249.47,1.82,1,1,0,[]
2024-10-11,000019.BKDL,48.19,-265.06,0.0,1,0,0,[]
2024-10-11,000023.BKDL,48.15,-282.17,0.84,1,0,0,[]
2024-10-11,000017.BKDL,45.87,-347.12,2.09,1,1,0,[]
2024-10-11,000031.BKDL,41.42,-114.08,0.73,1,0,0,[]
2024-10-11,000009.BKDL,40.99,-216.93,0.71,1,1,0,[]
2024-10-11,000038.BKDL,40.65,-212.8,2.0,1,1,0,[]
2024-10-11,000027.BKDL,40.51,-207.91,0.0,1,0,0,[]
2024-10-11,000025.BKDL,39.16,-175.39,0.82,1,0,0,[]
2024-10-11,000018.BKDL,35.92,-405.48,0.0,1,1,0,[]
2024-10-11,000022.BKDL,35.47,-229.17,0.0,1,1,0,[]
